Supplementary Table 7. Genes in DEPICT-defined loci,,,,,,,,,
Locus,Number of genes in locus,Chromosome and position,GWAS P-value,Ensembl gene ID,Gene symbol,Nominal P-value,Gene closest to lead SNP,FDR,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000114648,KLHL18,1.07E-07,FALSE,<0.01,
rs7167841,1,chr15:37181409-37393504,1.34E-07,ENSG00000134138,MEIS2,1.09E-07,TRUE,<0.01,
rs12736382,4,chr1:183441351-183897666,5.33E-08,ENSG00000162704,ARPC5,1.12E-07,FALSE,<0.01,
rs42210;rs12659776;rs17069646;rs2569041;rs7709334;rs9313415;rs35613923;rs72835052,2,chr5:166711804-167899308,2.74E-10,ENSG00000145934,ODZ2,1.18E-07,TRUE,<0.01,
rs137079,3,chr22:42949623-43045574,3.06E-10,ENSG00000100227,POLDIP3,1.19E-07,FALSE,<0.01,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000173621,LRFN4,1.22E-07,TRUE,<0.01,
rs13089363,1,chr3:88101094-88199035,2.38E-06,ENSG00000163320,CGGBP1,1.23E-07,TRUE,<0.01,
rs9916901;rs11082280,1,chr18:40323192-40695657,8.40E-09,ENSG00000152214,RIT2,1.24E-07,TRUE,<0.01,
rs2024568,3,chr20:44650329-44758502,1.61E-09,ENSG00000124160,NCOA5,1.26E-07,TRUE,<0.01,
rs4919624;rs73344830;rs118079769;rs11190955;rs11596387;rs61874089;rs11191206;rs117104675;rs3781292;rs118059379;rs75709864,21,chr10:103113820-104192418,1.00E-32,ENSG00000198728,LDB1,1.29E-07,FALSE,<0.01,
rs78702390;rs7803932;rs188799913;rs2158507;rs6460661;rs75527694,3,chr7:69061133-71178585,1.74E-11,ENSG00000185274,WBSCR17,1.30E-07,TRUE,<0.01,
rs58779949;rs11231643,24,chr11:63606400-64139687,3.84E-09,ENSG00000167771,RCOR2,1.33E-07,FALSE,<0.01,
rs118093058;rs117862461;rs4034,31,chr11:62201016-63177766,3.78E-12,ENSG00000162231,NXF1,1.33E-07,FALSE,<0.01,
rs4919624;rs73344830;rs118079769;rs11190955;rs11596387;rs61874089;rs11191206;rs117104675;rs3781292;rs118059379;rs75709864,21,chr10:103113820-104192418,1.00E-32,ENSG00000120049,KCNIP2,1.34E-07,TRUE,<0.01,
rs7113456;rs11604751,2,chr11:126225535-126873355,1.14E-07,ENSG00000149571,KIRREL3,1.39E-07,TRUE,<0.01,
rs7284558;rs28695882;rs56403962,1,chr22:48885272-49246724,1.27E-07,ENSG00000219438,FAM19A5,1.41E-07,TRUE,<0.01,
rs76577427;rs2761438;rs6689641,2,chr1:110693108-110825722,7.78E-18,ENSG00000197106,SLC6A17,1.41E-07,TRUE,<0.01,
rs631287,1,chr9:128199672-128469513,2.52E-09,ENSG00000119487,MAPKAP1,1.41E-07,TRUE,<0.01,
rs12151248;rs118040169;rs7408934;rs56252104;rs79105431;rs62109939;rs11775;rs9941452,7,chr19:13080432-13265716,3.81E-11,ENSG00000008441,NFIX,1.42E-07,TRUE,<0.01,
rs533241,3,chr2:230222345-230877825,7.92E-07,ENSG00000187957,DNER,1.44E-07,FALSE,<0.01,
rs12571549;rs7899270;rs60726488,3,chr10:111624524-111895323,1.45E-13,ENSG00000148700,ADD3,1.47E-07,TRUE,<0.01,
rs7898790,1,chr10:108336940-108924292,3.33E-06,ENSG00000108018,SORCS1,1.48E-07,TRUE,<0.01,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000145029,NICN1,1.49E-07,FALSE,<0.01,
rs6812533,2,chr4:39640760-39784412,4.85E-11,ENSG00000078140,UBE2K,1.55E-07,TRUE,<0.01,
rs2003111,1,chr10:87359312-88126250,7.71E-06,ENSG00000182771,GRID1,1.56E-07,TRUE,<0.01,
rs10922845,1,chr1:90457722-90494097,5.25E-08,ENSG00000162664,ZNF326,1.67E-07,TRUE,<0.01,
rs9924031,1,chr16:19179571-19279652,1.81E-10,ENSG00000103528,SYT17,1.68E-07,TRUE,<0.01,
rs10496091;rs116386746;rs28551472;rs56949301;rs145281763;rs11693744,9,chr2:60983365-61765761,3.71E-17,ENSG00000082898,XPO1,1.70E-07,TRUE,<0.01,
rs4925109;rs140786034,3,chr17:17584787-17740325,1.91E-10,ENSG00000108557,RAI1,1.76E-07,TRUE,<0.01,
rs12790196;rs2508441,9,chr11:57364860-57587018,3.29E-11,ENSG00000166793,YPEL4,1.82E-07,FALSE,<0.01,
rs730384;rs7154563,9,chr14:74872596-75370448,9.38E-13,ENSG00000119596,YLPM1,1.90E-07,FALSE,<0.01,
rs590013;rs533123,2,chr1:29063133-29190208,2.47E-11,ENSG00000198492,YTHDF2,1.93E-07,FALSE,<0.01,
rs2962378;rs2367823,1,chr5:90664541-90679176,4.30E-09,ENSG00000113369,ARRDC3,1.93E-07,TRUE,<0.01,
rs3862789;rs72962169;rs7125221,3,chr11:72287185-72505213,1.26E-19,ENSG00000186642,PDE2A,1.96E-07,TRUE,<0.01,
rs12622368,1,chr2:137523115-138435287,5.16E-06,ENSG00000144229,THSD7B,1.97E-07,TRUE,<0.01,
rs785499,8,chr1:46049518-46642160,2.02E-07,ENSG00000086015,MAST2,1.98E-07,FALSE,<0.01,
rs590013;rs533123,2,chr1:29063133-29190208,2.47E-11,ENSG00000116329,OPRD1,2.07E-07,TRUE,<0.01,
rs6573559;rs6573552,11,chr14:64319683-65056098,3.11E-12,ENSG00000054654,SYNE2,2.08E-07,FALSE,<0.01,
rs1544;rs59300999;rs2833504,3,chr21:33025906-33104431,1.76E-09,ENSG00000156304,SCAF4,2.13E-07,TRUE,<0.01,
rs11786879,2,chr8:41510739-41909508,1.31E-07,ENSG00000083168,KAT6A,2.13E-07,FALSE,<0.01,
rs7108020;rs12574281;rs78833645;rs12418096;rs2512652,1,chr11:131240373-132206716,3.91E-14,ENSG00000182667,NTM,2.14E-07,TRUE,<0.01,
rs12409811;rs61804837,10,chr1:153777201-154243986,1.10E-07,ENSG00000143569,UBAP2L,2.22E-07,FALSE,<0.01,
rs13266287,2,chr8:17780349-17942494,1.75E-08,ENSG00000078674,PCM1,2.22E-07,FALSE,<0.01,
rs115024859,1,chr3:23847394-23932807,6.17E-06,ENSG00000170142,UBE2E1,2.32E-07,TRUE,<0.01,
rs9556958;rs9513416;rs2772357,3,chr13:98795434-99230194,5.96E-15,ENSG00000152767,FARP1,2.32E-07,FALSE,<0.01,
rs4895650;rs951573,1,chr6:144606837-145174170,5.31E-11,ENSG00000152818,UTRN,2.35E-07,TRUE,<0.01,
rs6459818;rs4716882,1,chr7:157331750-158380480,1.13E-06,ENSG00000155093,PTPRN2,2.39E-07,FALSE,<0.01,
rs1717204;rs6792805;rs7432975;rs73176056;rs1102594,2,chr3:118619404-118864915,1.20E-10,ENSG00000144847,IGSF11,2.45E-07,FALSE,<0.01,
rs646007;rs590414,2,chr11:105480721-105893130,2.37E-07,ENSG00000152578,GRIA4,2.56E-07,FALSE,<0.01,
rs7182216;rs146705544,2,chr15:84115980-84708594,1.10E-08,ENSG00000140600,SH3GL3,2.56E-07,FALSE,<0.01,
rs56405138;rs7664299;rs28567740,3,chr4:165997256-166264312,1.31E-12,ENSG00000109466,KLHL2,2.71E-07,TRUE,<0.01,
rs7299842;rs11043298;rs10773208;rs12810587;rs78440611;rs11058322;rs10773002;rs34436758;rs10773515;rs12811983;rs112365238;rs61955089;rs146898200,26,chr12:122457328-124083116,2.50E-30,ENSG00000150967,ABCB9,2.74E-07,FALSE,<0.01,
rs146671954,3,chr9:136890561-136933657,2.53E-07,ENSG00000169925,BRD3,2.79E-07,TRUE,<0.01,
rs12051987;rs8085561,1,chr18:5143672-5197255,2.15E-07,ENSG00000231824,C18orf42,2.87E-07,TRUE,<0.01,
rs4537554;rs12125619,1,chr1:210111538-210337636,7.18E-07,ENSG00000143469,SYT14,2.90E-07,FALSE,<0.01,
rs117120958,4,chr9:5881596-6066714,1.86E-06,ENSG00000137040,RANBP6,2.94E-07,FALSE,<0.01,
rs9613472,1,chr22:28144265-28197486,3.98E-06,ENSG00000169184,MN1,2.96E-07,TRUE,<0.01,
rs4685448,2,chr3:237441-451090,1.07E-06,ENSG00000134121,CHL1,2.97E-07,FALSE,<0.01,
rs7211055;rs12940055;rs72848751,16,chr17:61600695-62050278,5.82E-07,ENSG00000136485,DCAF7,3.04E-07,TRUE,<0.01,
rs11588857;rs884108,4,chr1:204391756-204654861,4.45E-31,ENSG00000198625,MDM4,3.12E-07,FALSE,<0.01,
rs6559728,1,chr9:85857905-86153461,8.46E-06,ENSG00000172159,FRMD3,3.33E-07,TRUE,<0.01,
rs1901018;rs150821390;rs72855101;rs7583892;rs150991676;rs7595461,3,chr2:23608088-24227779,3.22E-07,ENSG00000119778,ATAD2B,3.35E-07,TRUE,<0.01,
rs4766424,2,chr12:1901123-2028002,2.47E-11,ENSG00000166159,LRTM2,3.43E-07,TRUE,<0.01,
rs9655780;rs2470966;rs4730020;rs17706792;rs16869996;rs6961668,6,chr7:103969104-105039755,3.70E-16,ENSG00000239569,-,3.43E-07,TRUE,<0.01,
rs11235803,4,chr11:72975550-73309234,1.40E-06,ENSG00000110237,ARHGEF17,3.47E-07,FALSE,<0.01,
rs17110109,4,chr12:54624724-54745633,1.47E-10,ENSG00000094916,CBX5,3.48E-07,TRUE,<0.01,
rs1467737;rs10818649,1,chr9:124964856-124991905,3.52E-09,ENSG00000106852,LHX6,3.50E-07,TRUE,<0.01,
rs6440854,1,chr3:152880029-152886265,7.39E-07,ENSG00000181467,RAP2B,3.54E-07,TRUE,<0.01,
rs9306268,6,chr22:31795509-32303001,3.55E-06,ENSG00000184708,EIF4ENIF1,3.55E-07,FALSE,<0.01,
rs9373384;rs9496638;rs72988638,5,chr6:143381633-143832827,1.64E-07,ENSG00000218896,-,3.56E-07,TRUE,<0.01,
rs12446456,4,chr16:4846969-4987136,7.96E-06,ENSG00000067836,ROGDI,3.58E-07,FALSE,<0.01,
rs6121037,11,chr20:34042985-34547394,1.32E-07,ENSG00000244462,RBM12,3.66E-07,FALSE,<0.01,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000181555,SETD2,3.85E-07,FALSE,<0.01,
rs8019235;rs10130443;rs34074136,2,chr14:42057064-42373752,7.99E-07,ENSG00000165379,LRFN5,3.86E-07,FALSE,<0.01,
rs2301586,6,chr22:29601840-29819168,2.01E-06,ENSG00000182944,EWSR1,3.98E-07,FALSE,<0.01,
rs10761202;rs111370527,4,chr9:95947198-96328397,4.28E-10,ENSG00000165238,WNK2,4.00E-07,TRUE,<0.01,
rs74615093;rs77295380,12,chr16:68877509-69419859,3.67E-08,ENSG00000132604,TERF2,4.03E-07,FALSE,<0.01,
rs1051860;rs71414197,5,chr14:58466453-58840605,3.29E-08,ENSG00000131966,ACTR10,4.07E-07,FALSE,<0.01,
rs6546856,4,chr2:73612886-73912703,2.52E-07,ENSG00000163016,ALMS1P,4.13E-07,FALSE,<0.01,
rs9683585;rs1203765;rs11248108,5,chr4:2271309-2758103,2.46E-09,ENSG00000159733,ZFYVE28,4.14E-07,FALSE,<0.01,
rs62007304;rs113274654;rs34080199,2,chr15:77400471-77777949,1.80E-08,ENSG00000140382,HMG20A,4.17E-07,TRUE,<0.01,
rs11545169,5,chr3:183852826-184402546,1.55E-07,ENSG00000114867,EIF4G1,4.21E-07,FALSE,<0.01,
rs17742342;rs12053365,3,chr2:148602086-149275805,1.59E-11,ENSG00000204406,MBD5,4.38E-07,FALSE,<0.01,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000076201,PTPN23,4.38E-07,TRUE,<0.01,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000172531,PPP1CA,4.53E-07,FALSE,<0.01,
rs2007655,1,chr10:34398488-35104253,8.64E-10,ENSG00000148498,PARD3,4.53E-07,TRUE,<0.01,
rs2183924;rs10968219,1,chr9:27948076-28670283,1.24E-07,ENSG00000174482,LINGO2,4.54E-07,FALSE,<0.01,
rs4500930;rs74747621;rs12467175;rs182471363;rs77974750,1,chr2:228844666-229046361,1.67E-13,ENSG00000153820,SPHKAP,4.80E-07,TRUE,<0.01,
rs6475368,1,chr9:19515978-19786926,4.28E-06,ENSG00000155886,SLC24A2,4.84E-07,TRUE,<0.01,
rs72667460;rs55675587;rs17440885;rs149869656;rs12751825;rs6588157,3,chr1:65886248-67213982,2.44E-10,ENSG00000118473,SGIP1,4.99E-07,TRUE,<0.01,
rs7983579;rs72656488,1,chr13:107142093-107187462,8.23E-07,ENSG00000125266,EFNB2,5.51E-07,TRUE,<0.01,
rs17064399,1,chr13:43787654-44361044,1.59E-06,ENSG00000120658,ENOX1,5.51E-07,FALSE,<0.01,
rs2954114;rs112279125,5,chr12:122150658-122326517,9.40E-09,ENSG00000212694,-,5.52E-07,FALSE,<0.01,
rs10074050,3,chr5:56111401-56267502,7.54E-07,ENSG00000155545,MIER3,5.52E-07,FALSE,<0.01,
rs13018640;rs71413877;rs72819118;rs192225848;rs72821189;rs10166286;rs10168615;rs17023131;rs79430745;rs6715321;rs4851263;rs4851338;rs13009915;rs1346620;rs77826402;rs62147651;rs62156361;rs6733011;rs11690621;rs116398129;rs111377325;rs11690494;rs744145,19,chr2:99061317-101034118,1.05E-50,ENSG00000135945,REV1,5.78E-07,TRUE,<0.01,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000173473,SMARCC1,5.95E-07,FALSE,<0.01,
rs4384309;rs78377382,1,chr10:132890654-133109984,4.89E-13,ENSG00000176769,TCERG1L,6.08E-07,TRUE,<0.01,
rs2100249;rs35624276;rs113615161;rs10953766,2,chr7:113726382-114659256,1.91E-09,ENSG00000128573,FOXP2,6.17E-07,TRUE,<0.01,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000172046,USP19,6.44E-07,FALSE,<0.01,
rs3803847,1,chr17:10725792-10741418,2.91E-06,ENSG00000233670,PIRT,6.64E-07,TRUE,<0.01,
rs12761761;rs7915610,2,chr10:133747955-133795435,4.79E-20,ENSG00000175470,PPP2R2D,6.72E-07,FALSE,<0.01,
rs7603132;rs73914230;rs115452135,1,chr2:5832799-5841516,1.20E-14,ENSG00000176887,SOX11,6.89E-07,TRUE,<0.01,
rs12891042;rs8016504;rs1955512,2,chr14:32798479-34273382,1.02E-10,ENSG00000151320,AKAP6,6.93E-07,FALSE,<0.01,
rs2740795,5,chr8:91803778-92099323,7.71E-10,ENSG00000155099,TMEM55A,6.98E-07,FALSE,<0.01,
rs4146926,1,chr4:164245113-164265984,7.44E-08,ENSG00000164128,NPY1R,7.05E-07,FALSE,<0.01,
rs6682652,1,chr1:202995626-203047864,9.87E-06,ENSG00000143847,PPFIA4,7.22E-07,FALSE,<0.01,
rs113054910,2,chr3:36421836-36781352,2.18E-06,ENSG00000163673,DCLK3,7.32E-07,FALSE,<0.01,
rs6509303,3,chr19:47341423-47508323,1.50E-06,ENSG00000252071,-,7.35E-07,TRUE,<0.01,
rs7928017;rs1107162;rs112086348;rs77028828,2,chr11:113185251-113346413,1.43E-11,ENSG00000149295,DRD2,7.53E-07,TRUE,<0.01,
rs74415461;rs118124826;rs35754755;rs4785577;rs9673820;rs9932312;rs12917772;rs8047204,26,chr16:89154783-90142338,6.25E-12,ENSG00000204991,SPIRE2,7.59E-07,FALSE,<0.01,
rs13422673;rs80077995;rs799810;rs707115;rs707078,2,chr2:154728426-155714863,6.48E-15,ENSG00000144278,GALNT13,7.74E-07,FALSE,<0.01,
rs12461072,6,chr19:18208603-18359010,8.98E-07,ENSG00000105650,PDE4C,7.74E-07,FALSE,<0.01,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000174516,PELI3,7.78E-07,FALSE,<0.01,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000164086,DUSP7,7.92E-07,FALSE,<0.01,
rs262986,2,chr3:183415606-183543382,1.01E-06,ENSG00000163872,YEATS2,8.18E-07,TRUE,<0.01,
rs10746127,2,chr12:109038885-109251366,1.61E-06,ENSG00000110880,CORO1C,8.41E-07,FALSE,<0.01,
rs12285074,5,chr11:116714118-117103241,5.11E-12,ENSG00000160584,SIK3,8.46E-07,FALSE,<0.01,
rs7523793,1,chr1:242251689-242687998,3.30E-07,ENSG00000180287,PLD5,8.68E-07,FALSE,<0.01,
rs7502541;rs9902820;rs62082093,14,chr17:56422539-57353322,3.90E-07,ENSG00000108389,MTMR4,8.81E-07,FALSE,<0.01,
rs77073818,3,chr1:115247090-115323306,1.79E-06,ENSG00000009307,CSDE1,8.88E-07,TRUE,<0.01,
rs7299842;rs11043298;rs10773208;rs12810587;rs78440611;rs11058322;rs10773002;rs34436758;rs10773515;rs12811983;rs112365238;rs61955089;rs146898200,26,chr12:122457328-124083116,2.50E-30,ENSG00000175727,MLXIP,9.06E-07,FALSE,<0.01,
rs2406253;rs10241492;rs4134932,17,chr7:99699172-100092422,3.58E-14,ENSG00000221838,AP4M1,9.21E-07,FALSE,<0.01,
rs58125559;rs35773761;rs73497522,5,chr16:1560428-1820318,1.34E-07,ENSG00000007545,CRAMP1L,9.63E-07,FALSE,<0.01,
rs757436,1,chr19:3804022-3869027,6.23E-07,ENSG00000105278,ZFR2,9.67E-07,FALSE,<0.01,
rs4925065,2,chr17:19807788-20222339,2.59E-08,ENSG00000108599,AKAP10,9.77E-07,FALSE,<0.01,
rs11663602;rs12970264;rs62103198;rs611517,8,chr18:77623668-78005429,9.27E-17,ENSG00000101544,ADNP2,1.02E-06,FALSE,<0.01,
rs12149425;rs7184847,1,chr16:76311176-76593135,2.32E-07,ENSG00000152910,CNTNAP4,1.07E-06,TRUE,<0.01,
rs115984727,1,chr5:132086509-132142933,9.83E-06,ENSG00000164402,SEPT8,1.08E-06,TRUE,<0.01,
rs2764684;rs852771;rs548897;rs1213769;rs7537039;rs72676940,2,chr1:57460451-59012406,9.99E-15,ENSG00000173406,DAB1,1.08E-06,TRUE,<0.01,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000175573,C11orf68,1.09E-06,FALSE,<0.01,
rs118093058;rs117862461;rs4034,31,chr11:62201016-63177766,3.78E-12,ENSG00000162236,STX5,1.15E-06,FALSE,<0.01,
rs16983844;rs3810478,2,chr20:62189439-62258394,1.29E-07,ENSG00000101216,GMEB2,1.15E-06,FALSE,<0.01,
rs10937590,2,chr3:193119866-193415612,1.62E-06,ENSG00000198836,OPA1,1.15E-06,FALSE,<0.01,
rs3897821;rs10927053;rs2994326;rs78631843;rs10927006;rs114025835;rs10803136;rs10926940,3,chr1:243219131-244014381,3.58E-25,ENSG00000214837,-,1.21E-06,TRUE,<0.01,
rs12981405,6,chr19:19375174-19657468,2.75E-09,ENSG00000129933,MAU2,1.27E-06,FALSE,<0.01,
rs11732160;rs74944857;rs10019169;rs7665356,2,chr4:66185281-66563747,1.46E-11,ENSG00000250846,-,1.27E-06,TRUE,<0.01,
rs13214325,2,chr6:20534688-21232635,9.33E-06,ENSG00000145996,CDKAL1,1.32E-06,FALSE,<0.01,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000180929,GPR62,1.35E-06,FALSE,<0.01,
rs740980,1,chr14:73075742-73360809,7.50E-07,ENSG00000205683,DPF3,1.40E-06,TRUE,<0.01,
rs7299842;rs11043298;rs10773208;rs12810587;rs78440611;rs11058322;rs10773002;rs34436758;rs10773515;rs12811983;rs112365238;rs61955089;rs146898200,26,chr12:122457328-124083116,2.50E-30,ENSG00000139697,SBNO1,1.45E-06,TRUE,<0.01,
rs17604349;rs62051146;rs17668674;rs35999374;rs9927049;rs138696382;rs34113301;rs62055046,21,chr16:70721342-72210777,2.36E-12,ENSG00000172137,CALB2,1.48E-06,TRUE,<0.01,
rs6917154,2,chr6:166822852-167319939,2.55E-09,ENSG00000071242,RPS6KA2,1.49E-06,FALSE,<0.01,
rs11724690;rs4515204;rs35075923,1,chr4:186506598-186877806,2.08E-09,ENSG00000154556,SORBS2,1.53E-06,TRUE,<0.01,
rs3751331;rs138569349;rs1148547,20,chr12:57984957-58351052,1.75E-11,ENSG00000166908,PIP4K2C,1.55E-06,TRUE,<0.01,
rs115049817,1,chr3:134316643-134979309,9.83E-06,ENSG00000154928,EPHB1,1.55E-06,FALSE,<0.01,
rs9903071;rs34400969,4,chr17:3822869-4167274,3.37E-07,ENSG00000185722,ANKFY1,1.66E-06,FALSE,<0.01,
rs11030102;rs11030084,5,chr11:27387508-27899195,4.60E-10,ENSG00000148943,LIN7C,1.71E-06,FALSE,<0.01,
rs9611597;rs9607859;rs4822112;rs148537066;rs2899355;rs2142695,35,chr22:41165634-42828401,2.30E-08,ENSG00000229891,-,1.76E-06,TRUE,<0.01,
rs61757207,11,chr16:70147529-70694585,1.27E-08,ENSG00000223496,EXOSC6,1.77E-06,FALSE,<0.01,
